"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"21733","MD","Hagerstown-Martinsburg","Washington County","Fairplay",15948,1390,-0.016277423920736,-0.0360610263522885,0.0791925465838509,460
2019-01-31,"92333","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Fawnskin",15949,1423,0.0113717128642502,0.0259552992069214,0.0386861313868613,895
2019-01-31,"37171","TN","Clarksville","Montgomery County","Southside",15950,910,0.00220264317180617,0.0133630289532294,0.0167597765363128,564
2019-01-31,"49724","MI","Sault Ste. Marie","Chippewa County","Dafter",15951,903,0.0123318385650224,0.0487804878048781,0.0284738041002278,482
2019-01-31,"53550","WI","Madison","Green County","Juda",15952,1168,0.020979020979021,0.0666666666666667,0.0263620386643234,553
2019-01-31,"87540","NM","Santa Fe","Santa Fe County","Lamy",15953,2409,-0.0110837438423645,-0.0301932367149758,0.024234693877551,511
2019-01-31,"43462","OH","Toledo","Wood County","Rudolph",15954,1074,-0.0200729927007299,-0.0611888111888112,-0.086734693877551,466
2019-01-31,"54772","WI","Menomonie","Dunn County","Wheeler",15955,1115,-0.0132743362831858,-0.0262008733624454,0.128542510121457,427
2019-01-31,"61931","IL","Charleston-Mattoon","Coles County","Humboldt",15956,1136,-0.00175746924428822,-0.00612423447069116,-0.0315430520034101,510
2019-01-31,"20693","MD","Washington-Arlington-Alexandria","Charles County","Welcome",15957,1962,0.0234741784037559,0.0827814569536424,0.0508837707552223,483
2019-01-31,"50162","IA","Marshalltown","Marshall County","Melbourne",15958,854,0.00352526439482961,0.0142517814726841,-0.024,544
2019-01-31,"60512","IL","Chicago-Naperville-Elgin","Kendall County","Yorkville",15959,1819,0.00831485587583148,0.0219101123595506,0.0478110599078341,428
2019-01-31,"61420","IL","Macomb","McDonough County","Blandinsville",15960,1060,0.000944287063267233,0.0114503816793893,0.0484668644906034,421
2019-01-31,"23850","VA","Richmond","Dinwiddie County","Ford",15961,1156,0.002601908065915,0.0176056338028169,0.0266429840142096,477
2019-01-31,"46035","IN","Frankfort","Clinton County","Colfax",15962,822,0.00611995104039168,0.0173267326732673,-0.0120192307692308,499
2019-01-31,"55708","MN","Duluth","Saint Louis County","Biwabik",15963,655,0.0108024691358025,0.0234375,0.098993288590604,505
2019-01-31,"49922","MI","Houghton","Houghton County","Dollar Bay",15964,956,0.0181043663471778,0.0669642857142857,0.0681564245810056,514
