"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,62632,"12520","NY","New York-Newark-Jersey City","Orange County","Cornwall on Hudson",12901,319500,0.00282485875706215,0.019789339291414,0.144750985309925,0.0510404415923049,0.0107148407889845,"2006-05","2006-Q2",356300,-0.103283749649172,"2005-01"
2019-01-31,72842,"33827","FL","Lakeland-Winter Haven","Polk County","Babson Park",12902,160700,0.0068922305764411,0.0106918238993711,0.0614266842800528,0.123935977750464,0.0160838087602657,"2006-08","2006-Q3",171200,-0.0613317757009346,"2006-05"
2019-01-31,78105,"46349","IN","Chicago-Naperville-Elgin","Newton County","Lake Village",12903,172200,0.00408163265306122,0.0237812128418549,0.163513513513514,0.0584872451754612,0.0337165456428457,"2019-01","2019-Q1",172200,0,"2019-01"
2019-01-31,86827,"65486","MO",,"Miller County","Iberia",12904,120300,0.0134793597304128,0.032618025751073,0.125350795135641,0.0457264936045807,0.0153517708175483,"2019-01","2019-Q1",120300,0,"2019-01"
2019-01-31,77814,"45784","OH","Marietta","Washington County","Vincent",12905,170700,0.00352733686067019,-0.035048049745619,0.0735849056603774,0.039412378853545,,"2018-09","2018-Q3",182300,-0.0636313768513439,"2018-08"
2019-01-31,86619,"64843","MO","Fayetteville-Springdale-Rogers","McDonald County","Goodman",12906,92200,0.00655021834061135,0.0199115044247788,0.0976190476190476,0.0466632417029973,0.019242665574501,"2019-01","2019-Q1",92200,0,"2019-01"
2019-01-31,63146,"13480","NY","Utica-Rome","Oneida County","Sangerfield",12907,120500,0.00921273031825796,0.0432900432900433,0.179060665362035,0.0467276294028087,0.0225651825635729,"2019-01","2019-Q1",120500,0,"2019-01"
2019-01-31,66555,"20688","MD","Washington-Arlington-Alexandria","Calvert County","Solomons",12908,260800,0.00384911470361817,0.00230591852421214,0.0478103656086782,0.0149918604715022,-0.0114393333812935,"2007-04","2007-Q2",366100,-0.287626331603387,"2004-07"
2019-01-31,84256,"59922","MT","Kalispell","Flathead County","Lakeside",12909,413200,0.0063321967851924,0.0283723245395719,0.233064756789018,0.0757620839325837,0.0000242045772025357,"2008-01","2008-Q1",428300,-0.0352556619192155,"2007-10"
2019-01-31,93426,"80482","CO",,"Grand County","Winter Park",12910,378100,-0.001584367573277,0.0155788342734354,-0.00395152792413066,0.0587575510982585,0.0201888496946878,"2017-12","2017-Q4",386600,-0.0219865494050698,"2017-08"
2019-01-31,85906,"63072","MO","St. Louis","Franklin County","Robertsville",12911,189000,0.00961538461538462,0.0401761144744084,0.18051217988757,0.0678757780441825,0.0229039488740943,"2019-01","2019-Q1",189000,0,"2019-01"
2019-01-31,58347,"01360","MA","Greenfield Town","Franklin County","Northfield",12912,229900,0.00261665939816834,0.0235975066785396,0.0383920505871725,0.0387507990768499,0.0147938954089943,"2019-01","2019-Q1",229900,0,"2019-01"
2019-01-31,77257,"44643","OH","Canton-Massillon","Stark County","Magnolia",12913,136300,0.000734214390602056,0.0103780578206079,0.119967132292523,0.0603151837955489,0.0345998524998123,"2019-01","2019-Q1",136300,0,"2019-01"
2019-01-31,77355,"44846","OH","Sandusky","Erie County","Milan",12914,144500,0.00347222222222222,0.00347222222222222,0.0471014492753623,0.0253485756577327,0.00794923166714456,"2018-09","2018-Q3",145100,-0.00413507925568573,"2018-08"
2019-01-31,72065,"32564","FL","Crestview-Fort Walton Beach-Destin","Okaloosa County","Holt",12915,142300,0.0164285714285714,0.0723436322532027,0.0447870778267254,0.0807755652107918,0.0194212453801816,"2006-06","2006-Q2",143600,-0.00905292479108635,"2006-02"
2019-01-31,77181,"44445","OH","Salem","Columbiana County","New Waterford",12916,125700,0.0056,0.0219512195121951,0.0789699570815451,0.0430797156533917,0.0298158425704966,"2019-01","2019-Q1",125700,0,"2019-01"
2019-01-31,77888,"45883","OH","Celina","Mercer County","Saint Henry",12917,206700,0.0102639296187683,0.0263157894736842,0.0776850886339937,0.0318600191206497,0.0533649402127052,"2019-01","2019-Q1",206700,0,"2019-01"
2019-01-31,59918,"05476","VT","Burlington-South Burlington","Franklin County","Richford",12918,110800,-0.00359712230215827,-0.0151111111111111,0.0884086444007858,0.0121644750993632,0.00791516678375292,"2018-10","2018-Q4",112500,-0.0151111111111111,"2018-08"
2019-01-31,59171,"03608","NH","Keene","Cheshire County","Walpole",12919,258700,-0.005,0.00857699805068226,0.0650473445862495,0.0423960173321607,0.0206385901493173,"2018-12","2018-Q4",260000,-0.005,"2018-11"
2019-01-31,62651,"12543","NY","New York-Newark-Jersey City","Orange County","Maybrook",12920,152900,0.00393959290873276,0.022742474916388,0.126750184229919,0.0409503969692568,-0.0185579603324659,"2006-04","2006-Q2",210300,-0.272943414170233,"2004-04"
2019-01-31,74344,"37375","TN","Tullahoma-Manchester","Franklin County","Sewanee",12921,242100,0.00289975144987572,0.0271531607976241,0.036830835117773,0.0558438236678289,0.0348368641915391,"2019-01","2019-Q1",242100,0,"2019-01"
