RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
70590,29605,South Carolina,1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141600,135700,134600,133100,135200,134e3,139800,144500,143400,137300,134200,135500,144e3,143400,142300,140900,143800,146400,148100,142900,145900,146700,150200,153500,141900,135500,129800,140300,148600,152e3,146900,148300,145900,150600,148600,148100,149200,151500,156e3,166700,164400,160500,149400,150600,153700,152200,152e3,149e3,152200,156500,161200,165600,165e3,166800,165800,163400,167500,164500,168700,167400,168900,166900,165800,177500,188e3,187600,
89748,72762,Arkansas,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154700,149500,145500,147200,152100,152900,152400,153300,152800,155400,157e3,157200,160800,162800,170300,164700,165100,161500,168500,170300,175300,175100,172100,169300,167600,171600,175e3,177900,180800,18e4,180600,180100,182e3,188100,186600,190200,
63824,15001,Pennsylvania,1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127400,122800,123700,121e3,119700,123600,122800,117400,116500,125200,135e3,138700,129400,131100,131300,135500,138200,135200,136e3,133300,131600,130100,122700,116700,115400,121400,127e3,128e3,137600,136300,138100,130700,138800,141700,143100,141400,148700,155700,157200,154300,151600,148600,140700,130100,127800,133300,
66879,21403,Maryland,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233400,213400,223e3,223100,226800,223800,234700,237900,226300,225700,229400,247600,246300,252300,246200,249400,25e4,246700,259400,269400,287300,271e3,255400,239500,244200,251500,253200,249600,255400,274400,269700,257800,252200,254e3,261600,255600,258600,250600,254300,255500,261e3,251300,252200,248300,240200,252400,267500,293100,287200,282300,271100,271700,274700,282400,279500,273700,
95056,85718,Arizona,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160800,162400,164100,168100,169500,171100,176600,174300,172100,163700,168800,168100,168400,169400,169200,178300,183100,191800,188500,180100,172400,174800,184900,195700,203100,206800,207400,202100,199200,187400,187e3,190200,203500,204e3,208300,208400,212400,209700,213500,209900,206800,192600,
71521,31406,Georgia,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149e3,143200,14e4,142e3,136e3,135100,126200,129e3,125400,126100,126100,129200,132300,131900,130300,129300,128800,131400,126900,126700,124600,132500,137200,136600,137100,134400,135800,137e3,138100,139500,137900,139100,140200,144400,148900,150700,147800,142300,138100,136800,134200,138100,135200,144300,144400,149100,142700,141300,140800,141600,146400,154600,160500,155300,149900,141800,145500,144300,146500,143200,145e3,148700,149100,148700,156100,169800,174200,166900,151700,142700,138600,148500,152400,162600,158e3,152800,143400,141300,146600,152100,164900,166400,171600,166700,171300,170800,165100,169100,163700,171300,,
94808,85213,Arizona,1333,,,,,,,,,,,,,,184100,179e3,180500,172200,159300,157400,154400,147200,141300,141600,159600,160400,163200,152300,149400,158e3,158700,157200,141100,136300,152100,158100,159300,146100,142600,145100,142400,147e3,139100,132500,121500,125400,133700,138900,135600,141500,146500,152400,146400,153500,158100,159900,16e4,157500,174600,175400,181500,171900,179700,182100,193700,194300,202400,196800,184800,188200,188100,207300,198900,209100,205900,212700,210500,218900,215400,212600,206700,208900,211700,204700,209e3,205200,208200,208100,214700,212800,213300,219500,233300,236700,237800,239e3,241600,246100,244500,246300,240100,240600,245200,253700,257700,259e3,260200,262600,271100,275500,277300,272600,269700,272e3,270300,273900,264900,262800,264300,277100,288100,288e3,290400,285100,284200,287300,292e3,,,,,
98849,96707,Hawaii,1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497800,510100,517100,522600,524500,541400,532800,537200,526600,543300,556e3,565200,558700,553e3,560800,562400,574700,569800,569700,566700,564300,554300,558800,572e3,598900,596700,589e3,575900,576e3,582900,596100,593300,611900,613900,622200,605e3,595600,601500,606800,612200,610400,611e3,625900,639700,649e3,641500,632100,634400,636500,642600,646700,666600,672600,670900,659700,652900,660900,679200,691500,682700,653700,649200,659700,664e3,,,
77694,45503,Ohio,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82700,83500,89500,86300,87e3,83600,87600,87400,88e3,83300,85300,87200,89400,88600,88200,86100,86500,85500,90700,87600,86600,84200,86800,87400,89700,88800,90500,89400,91700,93500,92100,93400,9e4,94600,91100,93500,90700,93500,92300,93300,95100,96600,96100,90100,91600,91500,95900,91200,87700,87500,89900,92900,91200,89600,90600,93400,98200,98800,99e3,97800,101800,103600,101500,100900,98900,99800,97100,99600,99600,98300,99200,102800,107100,111600,112200,111400,109100,110100,110100,108900,108100,112900,114800,
69839,28303,North Carolina,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,98100,101300,96100,93300,97400,103300,107700,105100,103300,98e3,101900,104e3,108400,106200,112e3,108800,107800,104e3,104900,103900,108300,116100,120500,113100,113900,116500,119300,117900,114500,111300,107700,106700,114500,119800,118300,113400,110300,118600,119300,126700,127200,129200,118500,113400,
67471,22980,Virginia,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166300,171900,170100,176700,176200,178800,172100,171500,170300,170800,172300,174900,179e3,175200,173900,170400,171800,173700,175900,180300,180700,184700,181500,176800,167e3,168100,173e3,179800,181100,179600,182700,181600,182900,178e3,178e3,178600,178900,178400,177500,19e4,184800,181200,183200,195900,201100,196800,202400,
72931,33950,Florida,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125900,126800,128e3,126200,124600,124e3,125500,128200,125500,124800,122100,129800,129800,141400,134500,138200,132700,138400,138500,138600,140300,142500,146900,149100,149400,146900,148800,149700,152900,153400,156100,153800,157600,156300,162700,161100,169700,165500,166500,166400,171500,182200,175400,177900,172700,182200,182e3,178400,175800,181500,191900,187200,182600,179600,190800,193600,195400,205e3,204400,205800,204800,209900,209e3,196300,202100,208100,219700,214800,222500,233500,233e3,230400,
79045,48186,Michigan,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900,82400,85100,86600,85100,86600,87e3,93300,93500,97700,97800,98500,95100,95400,94200,95100,95200,103e3,108800,111700,107100,102600,101100,104200,108e3,108400,107500,106900,107600,110400,112600,113400,115300,114700,116e3,117800,117700,114e3,114900,118200,124300,118900,116300,114100,118100,121400,124700,127e3,128800,129300,130100,128900,130700,128700,128e3,124200,132400,137700,143800,138100,137400,135e3,136600,136600,140200,143800,141700,138300,
100226,99507,Alaska,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e5,308100,296600,294300,280900,286800,29e4,300900,298e3,295800,281900,280500,275e3,287100,288800,290400,281e3,286400,296300,303200,291800,284200,281200,287e3,286500,293600,295700,296900,298900,293900,297400,293900,297e3,305100,302500,315500,303600,303500,295200,297900,303200,304600,308600,305e3,310900,307e3,312100,303500,313500,316900,323600,318600,307900,311e3,306600,320500,321300,320400,320500,314700,314300,306800,307600,312e3,311900,311700,310300,310800,302700,305e3,308700,316500,318800,316400,314e3,310900,314200,317e3,316700,312600,311400,314100,310900,305100,300900,305900,314300,314400,320200,323300,322400,315900,318200,
97365,93619,California,1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223700,218700,215200,217100,222800,226800,229900,235800,237300,234400,230200,231100,235200,234800,231500,235100,237500,239200,234600,238200,241e3,245700,247e3,247800,252e3,257800,259900,261600,26e4,264400,263600,264900,264400,268300,270900,272600,271600,275100,278e3,279300,275300,271700,272600,273400,277400,275200,276800,272600,277600,
66805,21157,Maryland,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,237900,228200,214100,213400,220100,227300,222500,222700,225200,235600,237600,243400,248800,228800,215100,209400,226200,233900,235800,235500,235800,232400,235100,255700,252e3,253700,234700,241900,24e4,247300,247900,254800,257800,259400,250200,242800,243100,252800,254300,259300,253100,248400,243200,237700,238e3,238600,243100,245500,248800,249800,258e3,256900,262600,260500,26e4,265200,270100,271700,267600,274e3,272900,267500,253500,254400,261100,265400,267900,263e3,258300,260300,274100,279300,271100,259300,255e3,259100,264400,281900,288900,294300,286600,282700,277600,
99193,97322,Oregon,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157500,155400,156300,164100,164500,165800,169300,17e4,167900,166900,166800,168600,165900,166800,167900,170300,173900,174e3,173600,173300,176300,179500,182200,181300,185600,187300,189300,188200,192800,196600,200400,199700,203400,205400,206100,209200,211100,214800,214300,219600,219200,221400,222300,228100,232500,230200,230900,231400,234e3,233300,234900,236500,242300,248200,255300,256e3,255900,
93302,80226,Colorado,1344,,,,,,,,,,,,,,214700,211200,217e3,22e4,22e4,216200,221600,222100,217e3,215700,211500,219300,214700,217100,208300,213500,221800,232400,233100,235100,224e3,217400,214100,223800,219700,218700,213600,216700,211500,206400,205700,203900,203500,204900,196200,201e3,201800,218100,219700,224200,224300,231600,228200,230700,225500,227800,225500,231900,233700,237600,236900,239600,244500,244500,248e3,243200,246100,246e3,247400,252600,252100,255700,252800,262200,263700,269700,263400,270600,268800,273e3,274700,277600,293200,296500,305800,297200,300900,297200,309300,309900,318900,323500,339700,341500,338200,332300,338400,345200,343300,347800,352800,362e3,370400,372300,372700,366100,368200,370600,372500,37e4,373900,380200,378100,380500,376200,385600,391600,396e3,402600,411600,415900,409400,405200,407600,417500,,,
65064,17402,Pennsylvania,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165200,163900,164400,159500,159300,152800,153500,151200,149300,141600,136900,14e4,147600,152600,154700,152200,153600,153300,15e4,151e3,150500,152900,148500,147400,154400,157300,161100,156200,156100,153600,151700,153400,147e3,148100,148100,157700,155600,152700,149e3,151300,153200,157800,157100,156800,155100,154200,152200,150700,153600,154700,155800,154500,158400,159600,156400,155500,153900,154300,158e3,160500,165400,163100,162700,162e3,158500,159700,162400,163800,156900,159100,162600,170300,168900,170800,172e3,171700,171100,168200,172200,173200,177e3,177800,178600,176500,174700,180300,182700,182400,176e3,173500,173100,175400,
67658,23323,Virginia,1346,257900,250300,247100,253500,258900,253200,247600,236700,235300,236600,232900,234400,235600,236400,237200,229400,235e3,229800,232200,226800,231e3,218500,220300,218e3,234500,235500,231400,224900,234300,236800,235400,227900,226100,226100,228600,228400,226200,215900,225400,224700,232300,228e3,219100,201500,194600,204400,220100,226400,217600,209700,198300,207500,199400,206500,203500,212400,212100,208200,211800,214400,220400,218300,218400,213400,211700,203100,202600,196800,203700,200100,209300,203300,210300,209100,214500,209100,212500,208700,218800,220700,225100,214800,210300,212200,216100,215800,215700,219500,228600,234e3,235e3,216200,210400,214e3,221800,219200,219200,223100,219100,220600,216200,218200,213600,225800,226800,231600,228400,231100,227e3,227700,226800,234500,230500,239700,234500,235100,227300,232400,231700,229700,228300,232e3,229500,229300,231400,239100,243700,245e3,247600,236700,
70954,30189,Georgia,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187900,189400,192400,196900,198100,197300,196500,201200,201300,202100,200800,207100,211200,213200,216600,215600,213900,212100,213300,215300,217e3,220600,228200,232300,237900,239100,235900,233800,231300,235e3,235300,234400,228200,231e3,
88826,70817,Louisiana,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,170200,166900,163900,165e3,166800,163200,158100,155900,157800,162800,158600,161600,155e3,159800,159300,163500,162500,161400,164700,163e3,165200,160500,160600,156500,156100,155e3,151300,151400,153200,152600,151300,154800,165600,166500,165600,152900,156900,155800,159100,160200,158700,16e4,155200,156700,157200,162300,164100,167600,167400,168900,166300,163200,156800,159300,162600,161e3,155e3,157500,159200,163400,158400,163e3,165300,164300,164500,173600,180100,182600,171e3,166700,164400,167400,169500,166200,171500,175900,184e3,179500,177200,173100,173300,172900,175500,175400,177e3,176800,182e3,182100,18e4,178500,182200,181900,
67042,21784,Maryland,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249e3,252200,252300,249400,252e3,258300,249900,238600,242800,264700,274900,270200,258400,258500,263900,268e3,262600,266400,265700,272500,275e3,277800,280500,278800,279700,282200,281600,275200,276500,274400,279500,267500,255800,250200,252400,273300,276e3,283800,275800,276800,271800,271500,266600,252900,248100,258900,278300,285700,274500,267800,266200,270800,277800,276e3,286200,288300,293300,306100,297500,289700,277200,275400,278100,278600,282800,284600,274700,278200,279900,280300,281e3,277400,286600,294400,294600,298700,296600,309800,308800,308900,302500,314e3,
81646,54311,Wisconsin,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140900,134600,130900,129800,129900,128600,125400,135300,138900,138300,133400,132900,133900,135200,134500,138e3,135100,136e3,135900,138300,130900,133600,133800,143400,140600,139400,142100,142200,147500,147300,151600,151e3,149100,150100,149700,147600,148200,150700,156800,156900,157900,159200,158500,158500,159100,160200,159600,159300,160900,164500,167400,167e3,168400,170900,174400,173800,169200,172100,175600,183100,182300,180200,173800,172100,172900,179800,18e4,181600,
80260,50265,Iowa,1351,156800,159200,159800,157900,156300,158800,153300,149300,145500,147900,149500,153100,150700,155800,153200,157e3,152300,157600,153800,149800,144300,142500,146500,147800,155800,160600,159900,157100,152200,157400,156900,157300,147200,145300,141300,141500,140800,148100,149600,154600,152200,154700,147200,143200,142700,144200,146100,149e3,156300,157e3,152900,147400,146800,147100,141100,138100,137500,147600,151300,154200,149400,150400,145600,152700,153800,162300,158100,156100,155700,154300,154200,154700,154900,154900,156500,155900,155600,150800,151500,152900,154e3,154100,155400,158500,162300,163700,163e3,163100,165400,167300,168900,168900,164300,163500,163300,166500,174100,175e3,171500,164200,164700,176200,174600,174300,171100,175800,182e3,176e3,175800,171400,178400,180400,179300,178500,178200,185600,188300,190800,187200,183900,186700,191200,193300,192800,192100,196e3,199800,204400,199500,200600,197500
97359,93612,California,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167500,175e3,176200,176400,171200,173e3,173e3,175e3,180700,175900,175400,178e3,183300,185500,182e3,182600,180800,182100,190600,193400,192300,189200,188500,190300,191100,194e3,195300,195800,198600,197100,198e3,195300,206e3,207400,218800,213400,216900,212800,213600,215900,218100,220300,224100,227600,235200,235100,237600,232e3,238600,234500,240100,233300,233800,226900,226600,232300,
97789,94583,California,1353,673700,685100,663100,653600,628900,624100,628300,617100,604100,589300,584300,578400,556300,553400,550900,572100,566900,578e3,565500,559500,557400,566500,559100,558500,545600,571500,566300,576100,564500,567200,565600,565900,571100,583600,588900,577e3,555600,527700,503900,514300,510800,520900,503800,511300,514e3,533600,527200,525100,506300,522400,528800,535600,543300,566400,576700,584800,577800,591700,585800,587300,612500,644500,672700,683800,693400,707100,701700,713400,703800,718200,729e3,754900,748900,751800,747300,755700,751400,749900,759e3,761400,763400,759500,764700,768400,770800,777500,796e3,803100,799800,801600,820500,835600,854500,846500,835700,827800,864900,881e3,880100,853300,864900,856300,854900,843400,864900,870300,877e3,864500,876400,877100,883300,873900,883600,896e3,896400,895900,891500,901500,890700,909600,932400,966600,964200,983500,985100,1013500,1001800,,,,
98092,95307,California,1354,,,,,,,,,,,,,,,,,159200,156200,150900,147700,144100,146800,145500,144700,142e3,143800,147200,151600,152600,148300,142900,144600,150400,155600,157100,155100,150600,144100,137600,140400,138e3,135400,130800,134300,136400,138800,135900,136e3,131600,135800,139800,142400,139500,134700,139500,139900,143600,143500,143800,150400,156e3,165700,165600,166100,165600,169900,172e3,176300,180900,187e3,191800,19e4,19e4,192200,202600,207e3,208800,208e3,215600,218e3,221700,221e3,221700,219600,221700,225600,229500,230500,233600,236500,237e3,241500,239300,244900,244400,253900,255200,259400,257300,266100,267500,265200,258100,254900,256500,255300,260200,264200,266800,263900,265100,269100,275700,278100,279400,281300,283500,280700,278100,283700,286900,289200,292300,299200,304600,300700,298200,304600,306200,320100,
99601,98155,Washington,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287400,300800,307800,317800,325100,329300,334500,333100,323600,324300,321600,327600,323700,333e3,332500,332200,339900,344400,354100,357300,365100,361300,358500,355400,366600,372800,374700,374300,376200,378e3,387400,397200,400300,393100,392600,397900,410800,415800,420400,421500,414500,414100,411300,419500,430800,448e3,469700,473500,481700,482e3,488500,500600,510600,525600,521200,522100,510200,522600,521400,545200,544600,561300,557700,549700,518100,538700,560700,
84540,60504,Illinois,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170200,177200,164700,169500,168400,179900,174700,173300,175700,178600,171300,171700,184200,190900,190200,177500,177700,178900,174900,177100,179300,180100,183400,182200,189300,186200,193600,190600,193600,190900,195e3,192e3,190100,194900,202900,202200,195200,193e3,194900,199800,197100,193900,196200,200800,202400,203e3,201100,195700,198400,199500,206600,202e3,205800,212500,218900,219900,219400,212600,206e3,209300,216e3,229800,225400,221600,221400,228200,231500,226400,221e3,214900,206600
72797,33756,Florida,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125200,117300,116400,119800,128900,134900,137100,132600,134800,136e3,138900,136500,136100,133300,133800,132600,134500,131900,135700,136900,142100,14e4,141700,140200,137100,136100,140100,145100,147e3,148900,153300,154900,151500,153800,155800,162600,161500,161e3,157100,160200,160200,164200,159600,166700,169400,172700,169100,171900,175400,183300,186800,197800,197200,198300,187800,188800,186900,186500,187600,190300,198900,204700,202800,201100,198200,202700,207100,200700,205100,207600,220600,217400,216400,216100,
