"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"80134","CO","Denver-Aurora-Lakewood","Douglas County","Parker",120,2402,-0.00414593698175788,-0.0119292472233649,0.012220817530552,21379
2019-01-31,"87114","NM","Albuquerque","Bernalillo County","Albuquerque",121,1300,0.00154083204930663,0.00853374709076804,0.00775193798449612,20745
2019-01-31,"91910","CA","San Diego-Carlsbad","San Diego County","Chula Vista",122,2494,0.00767676767676768,0.0238095238095238,0.0288778877887789,16348
2019-01-31,"06010","CT","Hartford-West Hartford-East Hartford","Hartford County","Bristol",123,1439,0.00559049615653389,0.0220170454545455,-0.0130315500685871,19875
2019-01-31,"93722","CA","Fresno","Fresno County","Fresno",124,1384,0.00654545454545455,0.0236686390532544,0.0382595648912228,20328
2019-01-31,"78240","TX","San Antonio-New Braunfels","Bexar County","San Antonio",125,1374,0.00807043286867205,0.0253731343283582,0.0192878338278932,12119
2019-01-31,"43081","OH","Columbus","Franklin County","Westerville",126,1560,0.00386100386100386,0.0236220472440945,0.0590631364562118,20728
2019-01-31,"17603","PA","Lancaster","Lancaster County","Lancaster",127,1195,0.00843881856540084,0.035528596187175,0.0400348128807659,19093
2019-01-31,"89108","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",128,1231,0.0115036976170912,0.0327181208053691,0.058469475494411,19609
2019-01-31,"85281","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",129,1397,0.0174799708667152,0.0575321725965178,0.0456586826347305,13165
2019-01-31,"87111","NM","Albuquerque","Bernalillo County","Albuquerque",130,1394,0,-0.000716845878136201,0.0265095729013255,18848
2019-01-31,"48180","MI","Detroit-Warren-Dearborn","Wayne County","Taylor",131,992,0.00303336703741153,0.0122448979591837,-0.00601202404809619,21805
2019-01-31,"34787","FL","Orlando-Kissimmee-Sanford","Orange County","Winter Garden",132,1746,0.0110017371163868,0.0368171021377672,0.0757855822550832,17511
2019-01-31,"97229","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",133,2296,0.0105633802816901,0.0389140271493213,0.0105633802816901,20715
2019-01-31,"76063","TX","Dallas-Fort Worth-Arlington","Tarrant County","Mansfield",134,1872,0.0124391563007031,0.0319735391400221,0.00591080064481462,18962
2019-01-31,"15601","PA","Pittsburgh","Westmoreland County","Greensburg",135,971,-0.00817160367722165,-0.00918367346938776,0.0146290491118077,19320
2019-01-31,"77459","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Missouri City",136,1833,0.00493421052631579,0.0172031076581576,-0.00865332612222823,22569
2019-01-31,"91709","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Chino Hills",137,3066,-0.00032605151613955,-0.00357491062723432,0.0152317880794702,21205
2019-01-31,"43055","OH","Columbus","Licking County","Newark",138,937,-0.00530785562632696,-0.0229405630865485,0.11547619047619,20737
2019-01-31,"95608","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Carmichael",139,1887,0.00963081861958266,0.0283378746594005,0.0277777777777778,18370
2019-01-31,"79938","TX","El Paso","El Paso County","El Paso",140,1105,0.00272232304900181,0.0091324200913242,0.0063752276867031,20679
2019-01-31,"85364","AZ","Yuma","Yuma County","Yuma",141,885,0.00454029511918275,0.00797266514806378,0.0125858123569794,17689
2019-01-31,"44060","OH","Cleveland-Elyria","Lake County","Mentor",142,1302,0.00308166409861325,0.00852052672347018,-0.00229885057471264,24789
2019-01-31,"11238","NY","New York-Newark-Jersey City","Kings County","New York",143,2728,0.011119347664937,0.0396341463414634,-0.000366434591425431,12554
2019-01-31,"43123","OH","Columbus","Franklin County","Grove City",144,1397,0.00215208034433285,0.00793650793650794,0.0123188405797101,21877
2019-01-31,"78577","TX","McAllen-Edinburg-Mission","Hidalgo County","Pharr",145,933,0.0163398692810458,0.0494938132733408,0.0459641255605381,16099
2019-01-31,"80013","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",146,1965,0.0051150895140665,0.0176074572760228,0.041335453100159,23726
2019-01-31,"33024","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Pembroke Pines",147,1840,0.00656455142231947,0.0222222222222222,0.0285075461151481,25540
2019-01-31,"33908","FL","Cape Coral-Fort Myers","Lee County","Fort Myers",148,1916,0.0105485232067511,0.0251471375066881,0.0680044593088071,23214
2019-01-31,"11385","NY","New York-Newark-Jersey City","Queens County","New York",149,2219,0.00135379061371841,0.00452693526482571,0.0104735883424408,14235
2019-01-31,"75056","TX","Dallas-Fort Worth-Arlington","Denton County","The Colony",150,1797,0.00447177193963108,0.0158281514980215,0.0106861642294713,15971
2019-01-31,"98012","WA","Seattle-Tacoma-Bellevue","Snohomish County","Bothell",151,2370,0.00936967632027257,0.0304347826086957,0.0180412371134021,20473
2019-01-31,"90066","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",152,4342,0.0109429569266589,0.0293978188715031,0.0276923076923077,13004
2019-01-31,"20906","MD","Washington-Arlington-Alexandria","Montgomery County","Silver Spring",153,2044,0.0118811881188119,0.0455242966751918,0.034412955465587,22463
2019-01-31,"76028","TX","Dallas-Fort Worth-Arlington","Johnson County","Burleson",154,1592,0.00695762175838077,0.0257731958762887,0.0244530244530245,21510
2019-01-31,"14850","NY","Ithaca","Tompkins County","Ithaca",155,1806,-0.0158038147138965,-0.0439385918475384,-0.00550660792951542,12458
2019-01-31,"33647","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",156,1755,0.00920069005175388,0.0317460317460317,0.0372340425531915,21093
2019-01-31,"92677","CA","Los Angeles-Long Beach-Anaheim","Orange County","Laguna Niguel",157,3380,0.00148148148148148,0.00535395597858418,0.0251744009705793,24318
2019-01-31,"30040","GA","Atlanta-Sandy Springs-Roswell","Forsyth County","Cumming",158,1696,-0.000589275191514437,0.000589970501474926,0.0119331742243437,19659
2019-01-31,"27587","NC","Raleigh","Wake County","Wake Forest",159,1629,-0.00122624156958921,0,-0.00122624156958921,22275
