"","Latitude","Longitude","Location"
"4036670",41.885651793,-87.754518131,"(41.885651793, -87.754518131)"
"4036744",41.790382906,-87.789588834,"(41.790382906, -87.789588834)"
"4036793",41.781399332,-87.608406171,"(41.781399332, -87.608406171)"
"4036889",41.751576926,-87.66590097,"(41.751576926, -87.66590097)"
"4037027",41.763541964,-87.717474325,"(41.763541964, -87.717474325)"
"4037034",41.963145462,-87.688001484,"(41.963145462, -87.688001484)"
"4037100",41.780430684,-87.726816068,"(41.780430684, -87.726816068)"
"4037161",41.963883023,-87.685453304,"(41.963883023, -87.685453304)"
"4037799",41.927294801,-87.707291815,"(41.927294801, -87.707291815)"
"4038378",41.754734911,-87.655467169,"(41.754734911, -87.655467169)"
"4038812",41.813998222,-87.640807685,"(41.813998222, -87.640807685)"
"4038841",41.788940779,-87.604958685,"(41.788940779, -87.604958685)"
"4038873",41.806684525,-87.643054181,"(41.806684525, -87.643054181)"
"4039128",NA,NA,""
"4039129",41.976364373,-87.657027554,"(41.976364373, -87.657027554)"
"4039151",41.881609458,-87.657546635,"(41.881609458, -87.657546635)"
"4039215",41.851949553,-87.618995915,"(41.851949553, -87.618995915)"
"4039429",41.918116868,-87.652579784,"(41.918116868, -87.652579784)"
"4039952",41.772612013,-87.733580104,"(41.772612013, -87.733580104)"
"4040317",41.924357171,-87.657213298,"(41.924357171, -87.657213298)"
"4040553",41.69217775,-87.618265718,"(41.69217775, -87.618265718)"
"4040575",41.688729981,-87.622990213,"(41.688729981, -87.622990213)"
"4040697",41.881088655,-87.720764494,"(41.881088655, -87.720764494)"
"4040757",41.768938677,-87.595228853,"(41.768938677, -87.595228853)"
"4040792",41.692569761,-87.624397882,"(41.692569761, -87.624397882)"
"4041208",42.010490627,-87.69974304,"(42.010490627, -87.69974304)"
"4041242",41.735380901,-87.638732821,"(41.735380901, -87.638732821)"
"4041247",41.780508648,-87.720820758,"(41.780508648, -87.720820758)"
"4041377",41.825155197,-87.620420208,"(41.825155197, -87.620420208)"
"4041485",41.948415485,-87.727457669,"(41.948415485, -87.727457669)"
"4041569",NA,NA,""
"4041756",41.816342431,-87.699371181,"(41.816342431, -87.699371181)"
"4041758",41.757570521,-87.641777522,"(41.757570521, -87.641777522)"
"4041770",41.798587534,-87.670786184,"(41.798587534, -87.670786184)"
"4042451",41.903259898,-87.672834892,"(41.903259898, -87.672834892)"
"4042596",41.873224816,-87.657381619,"(41.873224816, -87.657381619)"
"4042800",41.984756154,-87.663585071,"(41.984756154, -87.663585071)"
"4043193",41.903972089,-87.689516077,"(41.903972089, -87.689516077)"
"4043256",41.91617509,-87.680659965,"(41.91617509, -87.680659965)"
"4043438",41.926772479,-87.762396443,"(41.926772479, -87.762396443)"
"4043586",41.991022897,-87.670030253,"(41.991022897, -87.670030253)"
"4043850",41.777147356,-87.650791423,"(41.777147356, -87.650791423)"
"4044101",NA,NA,""
"4044132",41.7740621,-87.596057293,"(41.7740621, -87.596057293)"
"4044268",41.98993226,-87.668401011,"(41.98993226, -87.668401011)"
"4044326",41.913530962,-87.684280084,"(41.913530962, -87.684280084)"
"4044342",41.906951139,-87.72399992,"(41.906951139, -87.72399992)"
"4044449",41.899544838,-87.701726211,"(41.899544838, -87.701726211)"
"4044456",41.966029543,-87.658865072,"(41.966029543, -87.658865072)"
"4044537",41.866849355,-87.669516451,"(41.866849355, -87.669516451)"
"4044590",41.867072031,-87.72612265,"(41.867072031, -87.72612265)"
"4044854",41.852868298,-87.63091491,"(41.852868298, -87.63091491)"
"4045169",41.776196383,-87.61192928,"(41.776196383, -87.61192928)"
"4045354",41.863457262,-87.652605569,"(41.863457262, -87.652605569)"
"4045624",41.884521087,-87.622099893,"(41.884521087, -87.622099893)"
"4045698",41.98566676,-87.713837489,"(41.98566676, -87.713837489)"
"4046065",41.777540344,-87.790327923,"(41.777540344, -87.790327923)"
"4046207",41.912258489,-87.72763073,"(41.912258489, -87.72763073)"
"4046363",41.92814701,-87.650731279,"(41.92814701, -87.650731279)"
"4046407",41.878864086,-87.638503099,"(41.878864086, -87.638503099)"
"4046416",41.837668798,-87.735306968,"(41.837668798, -87.735306968)"
"4046461",41.671915347,-87.640509957,"(41.671915347, -87.640509957)"
"4046776",41.742918369,-87.714388256,"(41.742918369, -87.714388256)"
"4046802",41.926891117,-87.696264086,"(41.926891117, -87.696264086)"
"4046913",41.888673538,-87.747009792,"(41.888673538, -87.747009792)"
"4047117",41.702301765,-87.540095487,"(41.702301765, -87.540095487)"
"4047152",41.925212095,-87.723124326,"(41.925212095, -87.723124326)"
"4048066",41.996569005,-87.694727176,"(41.996569005, -87.694727176)"
"4048127",41.890954095,-87.668918026,"(41.890954095, -87.668918026)"
"4048480",41.785590124,-87.700891571,"(41.785590124, -87.700891571)"
"4048717",41.693810354,-87.635181936,"(41.693810354, -87.635181936)"
"4048774",41.746683958,-87.607532601,"(41.746683958, -87.607532601)"
"4048802",41.869859103,-87.721264569,"(41.869859103, -87.721264569)"
"4048873",41.808833439,-87.622824022,"(41.808833439, -87.622824022)"
"4048927",NA,NA,""
"4048929",NA,NA,""
"4049024",41.723001811,-87.612964188,"(41.723001811, -87.612964188)"
"4049141",41.899192536,-87.62533113,"(41.899192536, -87.62533113)"
"4049591",41.818585099,-87.694524884,"(41.818585099, -87.694524884)"
"4049752",41.814661973,-87.746173943,"(41.814661973, -87.746173943)"
"4049797",41.778327581,-87.700684296,"(41.778327581, -87.700684296)"
"4049885",41.724175323,-87.66031619,"(41.724175323, -87.66031619)"
"4049917",41.759424685,-87.623171391,"(41.759424685, -87.623171391)"
"4049945",41.946724431,-87.656135223,"(41.946724431, -87.656135223)"
"4049984",41.939244051,-87.715055192,"(41.939244051, -87.715055192)"
"4050345",41.822815592,-87.693327158,"(41.822815592, -87.693327158)"
"4050370",41.899360459,-87.752032482,"(41.899360459, -87.752032482)"
"4050412",41.810647211,-87.604397372,"(41.810647211, -87.604397372)"
"4050817",41.823742436,-87.687315657,"(41.823742436, -87.687315657)"
"4050875",41.785939526,-87.686265282,"(41.785939526, -87.686265282)"
"4050883",41.753257026,-87.668368334,"(41.753257026, -87.668368334)"
"4050999",41.785216663,-87.771038756,"(41.785216663, -87.771038756)"
"4051185",41.736885487,-87.587615985,"(41.736885487, -87.587615985)"
"4051188",41.91057081,-87.67192924,"(41.91057081, -87.67192924)"
"4051197",41.75375771,-87.552135344,"(41.75375771, -87.552135344)"
"4051303",41.920957553,-87.715753526,"(41.920957553, -87.715753526)"
"4051310",41.757060102,-87.636783853,"(41.757060102, -87.636783853)"
"4051403",41.925215689,-87.714565961,"(41.925215689, -87.714565961)"
"4052108",NA,NA,""
"4052199",41.692744415,-87.612767328,"(41.692744415, -87.612767328)"
"4052624",41.767829035,-87.650549297,"(41.767829035, -87.650549297)"
"4052796",41.873635421,-87.710081187,"(41.873635421, -87.710081187)"
"4052805",41.801867485,-87.591839955,"(41.801867485, -87.591839955)"
"4053287",41.74523823,-87.552769966,"(41.74523823, -87.552769966)"
"4053548",41.923783122,-87.778448036,"(41.923783122, -87.778448036)"
"4054210",41.699958022,-87.537700173,"(41.699958022, -87.537700173)"
"4054327",41.97008868,-87.762690091,"(41.97008868, -87.762690091)"
"4054624",41.95885623,-87.653289775,"(41.95885623, -87.653289775)"
"4054674",41.733358882,-87.648423157,"(41.733358882, -87.648423157)"
"4054708",41.977071407,-87.67050604,"(41.977071407, -87.67050604)"
"4054908",41.809305232,-87.606558389,"(41.809305232, -87.606558389)"
"4055053",41.895563458,-87.636349732,"(41.895563458, -87.636349732)"
"4055152",41.766660711,-87.634696918,"(41.766660711, -87.634696918)"
"4055307",41.861081457,-87.693790049,"(41.861081457, -87.693790049)"
"4055440",41.909860483,-87.728237535,"(41.909860483, -87.728237535)"
"4055454",41.958650942,-87.767707767,"(41.958650942, -87.767707767)"
"4055725",41.776632193,-87.68601056,"(41.776632193, -87.68601056)"
"4055733",41.76007426,-87.70250198,"(41.76007426, -87.70250198)"
"4055741",41.896979183,-87.624198566,"(41.896979183, -87.624198566)"
"4055879",NA,NA,""
"4056220",41.912347127,-87.725190394,"(41.912347127, -87.725190394)"
"4056330",41.945969958,-87.804567617,"(41.945969958, -87.804567617)"
"4056517",41.781717998,-87.594671669,"(41.781717998, -87.594671669)"
"4056707",41.80127229,-87.734416867,"(41.80127229, -87.734416867)"
"4056778",41.826368102,-87.632899746,"(41.826368102, -87.632899746)"
"4056783",41.778015745,-87.598061446,"(41.778015745, -87.598061446)"
"4056813",42.012247339,-87.687023334,"(42.012247339, -87.687023334)"
"4056831",41.655018749,-87.549560626,"(41.655018749, -87.549560626)"
"4056874",41.774098563,-87.77704554,"(41.774098563, -87.77704554)"
"4057316",41.878123916,-87.633208786,"(41.878123916, -87.633208786)"
"4057380",41.881916001,-87.736653542,"(41.881916001, -87.736653542)"
"4057943",41.947668355,-87.769892815,"(41.947668355, -87.769892815)"
"4058435",41.962618968,-87.727870973,"(41.962618968, -87.727870973)"
"4058552",41.747864896,-87.648815009,"(41.747864896, -87.648815009)"
"4058788",41.909742352,-87.758113951,"(41.909742352, -87.758113951)"
"4058926",41.909769759,-87.752654442,"(41.909769759, -87.752654442)"
"4058973",41.776906089,-87.645767628,"(41.776906089, -87.645767628)"
"4059259",41.867608211,-87.680298775,"(41.867608211, -87.680298775)"
"4059279",41.867608211,-87.680298775,"(41.867608211, -87.680298775)"
"4059414",NA,NA,""
"4059431",41.910363922,-87.760584533,"(41.910363922, -87.760584533)"
"4059933",41.956272914,-87.64574741,"(41.956272914, -87.64574741)"
"4059997",41.727124774,-87.607020121,"(41.727124774, -87.607020121)"
"4060243",41.876295595,-87.63175265,"(41.876295595, -87.63175265)"
"4060317",41.841290355,-87.639052872,"(41.841290355, -87.639052872)"
"4060541",41.922450893,-87.632206293,"(41.922450893, -87.632206293)"
"4060570",41.879534784,-87.625650985,"(41.879534784, -87.625650985)"
"4060706",41.962753876,-87.640129395,"(41.962753876, -87.640129395)"
"4060708",41.962753876,-87.640129395,"(41.962753876, -87.640129395)"
"4060709",41.962753876,-87.640129395,"(41.962753876, -87.640129395)"
"4060774",41.896176088,-87.660853065,"(41.896176088, -87.660853065)"
"4060861",41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
"4060905",41.973663917,-87.67781539,"(41.973663917, -87.67781539)"
"4061307",41.694314274,-87.630958439,"(41.694314274, -87.630958439)"
"4061628",41.926663322,-87.763624789,"(41.926663322, -87.763624789)"
"4061722",41.962753876,-87.640129395,"(41.962753876, -87.640129395)"
"4061725",41.962753876,-87.640129395,"(41.962753876, -87.640129395)"
"4061913",41.791932507,-87.629241017,"(41.791932507, -87.629241017)"
"4061960",41.86014503,-87.724991458,"(41.86014503, -87.724991458)"
"4062334",41.877864969,-87.627666954,"(41.877864969, -87.627666954)"
"4062649",41.93980905,-87.685630894,"(41.93980905, -87.685630894)"
"4062751",41.925444767,-87.649484968,"(41.925444767, -87.649484968)"
"4063075",41.831048676,-87.622882951,"(41.831048676, -87.622882951)"
"4063085",41.913196114,-87.804077693,"(41.913196114, -87.804077693)"
"4063135",41.793468817,-87.681711977,"(41.793468817, -87.681711977)"
"4063142",41.801173978,-87.645335879,"(41.801173978, -87.645335879)"
"4063155",41.80462016,-87.684368169,"(41.80462016, -87.684368169)"
"4063294",41.920996972,-87.751138001,"(41.920996972, -87.751138001)"
"4063495",41.777026661,-87.671437095,"(41.777026661, -87.671437095)"
"4063754",41.840016176,-87.712231415,"(41.840016176, -87.712231415)"
"4063822",41.898549887,-87.700450413,"(41.898549887, -87.700450413)"
"4063823",41.898549887,-87.700450413,"(41.898549887, -87.700450413)"
"4064383",41.688322995,-87.649549083,"(41.688322995, -87.649549083)"
"4064596",41.805858245,-87.662465958,"(41.805858245, -87.662465958)"
"4064615",41.803896231,-87.664844779,"(41.803896231, -87.664844779)"
"4064628",41.935919137,-87.760223625,"(41.935919137, -87.760223625)"
"4064942",41.761043825,-87.632107844,"(41.761043825, -87.632107844)"
"4064965",41.99489312,-87.806822544,"(41.99489312, -87.806822544)"
"4064979",41.798065927,-87.590028078,"(41.798065927, -87.590028078)"
"4065014",41.965360985,-87.659975219,"(41.965360985, -87.659975219)"
"4065154",41.97839724,-87.708748088,"(41.97839724, -87.708748088)"
"4065325",41.864073157,-87.706818608,"(41.864073157, -87.706818608)"
"4065625",41.800408413,-87.661110804,"(41.800408413, -87.661110804)"
