"","x"
"627","2018-04"
"628","2018-04"
"629","2018-05"
"630","2018-05"
"631","2016-03"
"632","2017-11"
"633","2017-11"
"634","2018-05"
"635","2018-05"
"636","2018-05"
"637","2017-08"
"638","2018-05"
"639","2018-05"
"640","2018-05"
"641","2018-05"
"642","2018-05"
"643","2018-05"
"644","2018-05"
"645","2018-05"
"646","2018-05"
"647","2018-05"
"648","2017-06"
"649","2018-05"
"650","2018-05"
"651","2018-05"
"652","2018-05"
"653","2018-05"
"654","2018-05"
"655","2018-05"
"656","2018-05"
"657","2018-01"
"658","2002-08"
"659","2018-05"
"660","2018-05"
"661","2018-05"
"662","2018-05"
"663","2018-05"
"664","2018-05"
"665","2018-05"
"666","2018-05"
"667","2017-07"
"668","2018-05"
"669","2018-05"
"670","2018-05"
"671","2018-05"
"672","2017-04"
"673","2018-05"
"674","2018-05"
"675","2018-05"
"676","2018-05"
"677","2018-05"
"678","2018-05"
"679","2018-05"
"680","2018-05"
"681","2018-05"
"682","2017-09"
"683","2018-05"
"684","2018-05"
"685","2018-05"
"686","2018-05"
"687","2018-06"
"688","2018-06"
"689","2018-06"
"690","2018-06"
"691","2018-06"
"692","2018-06"
"693","2018-06"
"694","2016-07"
"695","2018-03"
"696","2018-06"
"697","2018-06"
"698","2018-06"
"699","2018-06"
"700","2018-06"
"701","2018-06"
"702","2018-06"
"703","2018-06"
"704","2018-06"
"705","2018-06"
"706","2018-06"
"707","2018-06"
"708","2005-06"
"709","2018-06"
"710","2018-06"
"711","2016-08"
"712","2018-06"
"713","2018-06"
"714","2018-06"
"715","2018-06"
"716","2018-02"
"717","2018-02"
"718","2018-06"
"719","2018-06"
"720","2018-06"
"721","2018-06"
"722","2018-06"
"723","2018-06"
"724","2018-06"
"725","2018-06"
"726","2018-06"
"727","2018-06"
"728","2018-06"
"729","2017-03"
"730","2018-06"
"731","2018-06"
"732","2018-06"
"733","2018-06"
"734","2016-06"
"735","2016-11"
"736","2018-06"
"737","2018-06"
"738","2018-06"
"739","2018-06"
"740","2018-06"
"741","2018-06"
"742","2018-06"
"743","2018-06"
"744","2017-10"
"745","2018-06"
"746","2018-06"
"747","2018-02"
"748","2018-06"
"749","2018-06"
"750","2018-07"
"751","2016-01"
"752","2016-01"
"753","2016-01"
"754","2016-01"
"755","2001-08"
"756","2001-08"
"757","2001-08"
"758","2001-08"
"759","2001-08"
"760","2001-08"
"761","2001-08"
"762","2001-08"
"763","2001-08"
"764","2001-08"
"765","2001-08"
"766","2001-08"
"767","2001-08"
"768","2016-04"
"769","2001-08"
"770","2015-06"
"771","2015-06"
"772","2001-08"
"773","2001-08"
"774","2001-08"
"775","2001-08"
"776","2001-08"
"777","2001-08"
"778","2016-01"
"779","2001-08"
"780","2001-08"
"781","2016-04"
"782","2016-04"
"783","2001-08"
"784","2001-08"
"785","2001-08"
"786","2001-08"
"787","2016-01"
"788","2016-04"
"789","2001-08"
"790","2001-08"
"791","2001-08"
"792","2001-08"
"793","2001-08"
"794","2001-08"
"795","2001-08"
"796","2001-08"
"797","2016-04"
"798","2015-12"
"799","2001-08"
"800","2001-08"
"801","2001-08"
"802","2001-08"
"803","2001-08"
"804","2001-08"
"805","2016-04"
"806","2001-08"
"807","2001-08"
"808","2001-08"
"809","2001-08"
"810","2001-08"
"811","2001-08"
"812","2001-09"
"813","2001-09"
"814","2001-09"
"815","2001-09"
"816","2001-09"
"817","2001-09"
"818","2001-09"
"819","2001-09"
"820","2001-09"
"821","2001-09"
"822","2001-09"
"823","2001-09"
"824","2001-09"
"825","2001-09"
"826","2001-09"
"827","2001-09"
"828","2001-09"
"829","2001-09"
"830","2001-09"
"831","2001-09"
"832","2001-09"
"833","2001-09"
"834","2001-09"
"835","2001-09"
"836","2001-09"
"837","2001-09"
"838","2001-09"
"839","2001-09"
"840","2001-09"
"841","2001-09"
"842","2001-09"
"843","2001-09"
"844","2001-09"
"845","2001-09"
"846","2001-09"
"847","2001-09"
"848","2001-09"
"849","2001-09"
"850","2001-09"
"851","2001-09"
"852","2001-09"
"853","2001-09"
"854","2001-09"
"855","2001-09"
"856","2001-09"
"857","2001-09"
"858","2001-09"
"859","2001-09"
"860","2001-09"
"861","2001-09"
"862","2001-09"
