"","Latitude","Longitude","Location"
"2007140",41.874549237,-87.689679268,"(41.874549237, -87.689679268)"
"2007168",41.778115781,-87.600403043,"(41.778115781, -87.600403043)"
"2007190",41.757006621,-87.670895174,"(41.757006621, -87.670895174)"
"2007205",41.909784344,-87.73412735,"(41.909784344, -87.73412735)"
"2007206",41.797733729,-87.660342934,"(41.797733729, -87.660342934)"
"2007232",41.99690953,-87.687413995,"(41.99690953, -87.687413995)"
"2007257",41.905900873,-87.725181777,"(41.905900873, -87.725181777)"
"2007276",41.87203284,-87.6896935,"(41.87203284, -87.6896935)"
"2007303",41.968358893,-87.717373489,"(41.968358893, -87.717373489)"
"2007318",41.728527475,-87.66213546,"(41.728527475, -87.66213546)"
"2007335",41.783409097,-87.643318555,"(41.783409097, -87.643318555)"
"2007364",41.763084756,-87.664179939,"(41.763084756, -87.664179939)"
"2007387",41.839944326,-87.731729746,"(41.839944326, -87.731729746)"
"2007405",41.793126705,-87.660919195,"(41.793126705, -87.660919195)"
"2007422",41.840059644,-87.72808455,"(41.840059644, -87.72808455)"
"2007423",41.746153351,-87.665759266,"(41.746153351, -87.665759266)"
"2007441",41.81791667,-87.62144331,"(41.81791667, -87.62144331)"
"2007456",41.758027797,-87.637517408,"(41.758027797, -87.637517408)"
"2007476",41.652268611,-87.617232658,"(41.652268611, -87.617232658)"
"2007501",41.780222635,-87.670289648,"(41.780222635, -87.670289648)"
"2007521",41.915277252,-87.731827415,"(41.915277252, -87.731827415)"
"2007542",41.921521189,-87.751151608,"(41.921521189, -87.751151608)"
"2007569",41.786569368,-87.644956704,"(41.786569368, -87.644956704)"
"2007585",41.761312596,-87.661002202,"(41.761312596, -87.661002202)"
"2007603",41.758729795,-87.590104677,"(41.758729795, -87.590104677)"
"2007624",41.95394778,-87.703483391,"(41.95394778, -87.703483391)"
"2007625",41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
"2007646",41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
"2007673",41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
"2007687",41.86339496,-87.732427749,"(41.86339496, -87.732427749)"
"2007701",41.6880618,-87.622334896,"(41.6880618, -87.622334896)"
"2007724",41.750400515,-87.660408795,"(41.750400515, -87.660408795)"
"2007747",41.778416297,-87.686065944,"(41.778416297, -87.686065944)"
"2007767",41.949383354,-87.794444909,"(41.949383354, -87.794444909)"
"2007788",41.843464822,-87.730606778,"(41.843464822, -87.730606778)"
"2007811",41.7819157,-87.691031837,"(41.7819157, -87.691031837)"
"2007829",41.901831006,-87.718964701,"(41.901831006, -87.718964701)"
"2007830",42.005832909,-87.669964736,"(42.005832909, -87.669964736)"
"2007847",41.776763642,-87.695775971,"(41.776763642, -87.695775971)"
"2007868",41.747635376,-87.604363064,"(41.747635376, -87.604363064)"
"2007889",41.819671764,-87.701957751,"(41.819671764, -87.701957751)"
"2007903",41.871563129,-87.698488032,"(41.871563129, -87.698488032)"
